,resale_price,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,model_year,model,car_age
3377,1900000.0,1490.0,Comprehensive,Automatic,4732.0,First Owner,Petrol,91.18,5.0,27.97,SUV,Kolkata,2023,Maruti Grand,0.0
3378,520000.0,1197.0,Comprehensive,Manual,40700.0,First Owner,Petrol,81.8,5.0,22.0,Hatchback,Kolkata,2018,Maruti Swift,5.0
3380,375000.0,1197.0,Comprehensive,Manual,38000.0,First Owner,Petrol,82.0,5.0,18.9,Hatchback,Kolkata,2016,Hyundai Grand,7.0
3384,565000.0,1591.0,Comprehensive,Manual,38247.0,First Owner,Petrol,121.3,5.0,17.01,Sedan,Kolkata,2016,Hyundai Verna,7.0
3385,1499000.0,1497.0,Comprehensive,Automatic,300.0,First Owner,Petrol,117.6,5.0,17.4,Sedan,Kolkata,2022,Honda City,1.0
3386,790000.0,1591.0,Comprehensive,Automatic,46000.0,First Owner,Petrol,121.3,5.0,13.0,SUV,Kolkata,2016,Hyundai Creta,7.0
3387,525000.0,1199.0,Comprehensive,Manual,28000.0,First Owner,Petrol,88.7,5.0,18.2,Hatchback,Kolkata,2019,Honda Jazz,4.0
3388,950000.0,998.0,Comprehensive,Automatic,29000.0,First Owner,Petrol,118.35,5.0,18.15,SUV,Kolkata,2021,Hyundai Venue,2.0
3390,326000.0,1197.0,Comprehensive,Manual,67568.0,First Owner,Petrol,82.0,5.0,19.1,Sedan,Kolkata,2015,Hyundai Xcent,8.0
3391,246000.0,814.0,Comprehensive,Manual,65595.0,First Owner,Petrol,55.2,5.0,21.1,Hatchback,Kolkata,2015,Hyundai EON,8.0
3392,736000.0,1497.0,Comprehensive,Manual,32395.0,First Owner,Petrol,117.6,5.0,17.4,Sedan,Kolkata,2017,Honda City,6.0
3393,1500000.0,1799.0,Third Party,Automatic,43700.0,First Owner,Petrol,139.46,5.0,16.5,Sedan,Kolkata,2019,Honda Civic,4.0
3394,348000.0,1496.0,Third Party insurance,Manual,56000.0,First Owner,Petrol,88.73,5.0,16.78,Sedan,Kolkata,2014,Toyota Etios,9.0
3395,180000.0,1199.0,Third Party insurance,Manual,65000.0,First Owner,Petrol,82.5,5.0,18.2,Hatchback,Kolkata,2014,Chevrolet Sail,9.0
3397,425000.0,1198.0,Comprehensive,Manual,98398.0,First Owner,Petrol,74.0,5.0,16.47,Hatchback,Kolkata,2015,Volkswagen Polo,8.0
3398,1600000.0,1353.0,Comprehensive,Automatic,33815.0,First Owner,Petrol,138.08,5.0,16.5,SUV,Kolkata,2021,Kia Seltos,2.0
3401,735000.0,998.0,Comprehensive,Automatic,39113.0,First Owner,Petrol,118.35,5.0,18.15,SUV,Kolkata,2019,Hyundai Venue,4.0
3403,699000.0,1197.0,Comprehensive,Automatic,2000.0,First Owner,Petrol,81.8,5.0,20.89,Hatchback,Kolkata,2022,Maruti Ignis,1.0
